  Session log : spot_check_logs\log3.txt  (started 2026-06-01 14:03:34)

  Trading Pipeline — PAPER (mock data, no real orders)
  Watching    : AAPL, TSLA, NVDA, MSTR, COIN
  Trigger     : price > rolling_mean + 2.0 * std_dev
  AI gate     : confidence > 0.65
  Order cap   : 10% of balance (fractional shares)
  Take-profit : +3%  |  Stop-loss : -5% (AI-assisted)
  Press Ctrl+C to stop.

  [RAW TICK] 14:03:35  COIN    bid=$99.91
  [RAW TICK] 14:03:35  NVDA    bid=$874.99
  [RAW TICK] 14:03:35  NVDA    bid=$875.09
  [RAW TICK] 14:03:35  TSLA    bid=$249.91
  [RAW TICK] 14:03:35  TSLA    bid=$249.85
  [RAW TICK] 14:03:35  TSLA    bid=$249.84
  [RAW TICK] 14:03:35  NVDA    bid=$875.23
  [RAW TICK] 14:03:35  MSTR    bid=$100.02
  [RAW TICK] 14:03:35  COIN    bid=$99.94
  [RAW TICK] 14:03:35  AAPL    bid=$194.96
  [RAW TICK] 14:03:35  MSTR    bid=$99.93
  [RAW TICK] 14:03:35  TSLA    bid=$249.58
  [RAW TICK] 14:03:36  AAPL    bid=$194.83
  [RAW TICK] 14:03:36  TSLA    bid=$249.39
  [RAW TICK] 14:03:36  AAPL    bid=$194.83
  [RAW TICK] 14:03:36  MSTR    bid=$99.82
  [RAW TICK] 14:03:36  NVDA    bid=$875.29
  [RAW TICK] 14:03:36  COIN    bid=$99.8
  [RAW TICK] 14:03:36  MSTR    bid=$99.94
  [RAW TICK] 14:03:36  AAPL    bid=$194.93
  [RAW TICK] 14:03:36  MSTR    bid=$100.15
  [RAW TICK] 14:03:36  COIN    bid=$99.84
  [RAW TICK] 14:03:36  MSTR    bid=$100.08
  [RAW TICK] 14:03:36  COIN    bid=$100.05
  [RAW TICK] 14:03:36  NVDA    bid=$875.1
  [RAW TICK] 14:03:36  MSTR    bid=$100.31
  [RAW TICK] 14:03:36  AAPL    bid=$195.02
  [RAW TICK] 14:03:36  NVDA    bid=$875.11
  [RAW TICK] 14:03:36  MSTR    bid=$100.55
  [RAW TICK] 14:03:36  AAPL    bid=$194.86
  [RAW TICK] 14:03:36  NVDA    bid=$875.22
  [RAW TICK] 14:03:36  NVDA    bid=$875.15
  [RAW TICK] 14:03:36  AAPL    bid=$194.78
  [RAW TICK] 14:03:36  NVDA    bid=$875.15
  [RAW TICK] 14:03:36  TSLA    bid=$249.57
  [RAW TICK] 14:03:36  AAPL    bid=$194.9
  [RAW TICK] 14:03:37  TSLA    bid=$249.68
  [RAW TICK] 14:03:37  COIN    bid=$100.18
  [RAW TICK] 14:03:37  COIN    bid=$100.18
  [RAW TICK] 14:03:37  AAPL    bid=$194.8
  [RAW TICK] 14:03:37  NVDA    bid=$875.0
  [RAW TICK] 14:03:37  MSTR    bid=$100.85
  [RAW TICK] 14:03:37  COIN    bid=$100.04
  [RAW TICK] 14:03:37  NVDA    bid=$874.9
  [RAW TICK] 14:03:37  AAPL    bid=$194.82
  [RAW TICK] 14:03:37  NVDA    bid=$874.92
  [RAW TICK] 14:03:37  COIN    bid=$100.25
  [RAW TICK] 14:03:37  MSTR    bid=$100.69
  [RAW TICK] 14:03:37  TSLA    bid=$249.69
  [RAW TICK] 14:03:37  MSTR    bid=$100.97
  [RAW TICK] 14:03:37  COIN    bid=$100.31
  [RAW TICK] 14:03:37  NVDA    bid=$874.94
  [RAW TICK] 14:03:37  TSLA    bid=$249.64
  [RAW TICK] 14:03:37  MSTR    bid=$101.03
  [RAW TICK] 14:03:37  TSLA    bid=$249.6
  [RAW TICK] 14:03:37  TSLA    bid=$249.57
  [RAW TICK] 14:03:37  COIN    bid=$100.19
  [RAW TICK] 14:03:37  COIN    bid=$100.14
  [RAW TICK] 14:03:37  TSLA    bid=$249.65
  [RAW TICK] 14:03:37  COIN    bid=$100.19
  [RAW TICK] 14:03:38  COIN    bid=$100.21
  [RAW TICK] 14:03:38  TSLA    bid=$249.51
  [RAW TICK] 14:03:38  NVDA    bid=$874.94
  [RAW TICK] 14:03:38  AAPL    bid=$195.06
  [RAW TICK] 14:03:38  COIN    bid=$101.22

  [THRESHOLD TRIP] COIN  bid=$101.22  band=$100.82  (mean=100.16, sigma=0.3305, breach=3.20σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.00  urgency=NONE  code=AI_ERR_429_RESOURCE_EXHAUST
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 14:03:38  TSLA    bid=$249.6
  [RAW TICK] 14:03:38  TSLA    bid=$249.47
  [RAW TICK] 14:03:38  MSTR    bid=$101.16
  [RAW TICK] 14:03:38  COIN    bid=$101.22
  [RAW TICK] 14:03:38  AAPL    bid=$194.84
  [RAW TICK] 14:03:38  MSTR    bid=$101.29
  [RAW TICK] 14:03:38  MSTR    bid=$100.95
  [RAW TICK] 14:03:38  COIN    bid=$101.48
  [RAW TICK] 14:03:38  AAPL    bid=$195.0
  [RAW TICK] 14:03:38  COIN    bid=$101.25
  [RAW TICK] 14:03:38  NVDA    bid=$875.04
  [RAW TICK] 14:03:38  NVDA    bid=$874.94
  [RAW TICK] 14:03:38  NVDA    bid=$875.26
  [RAW TICK] 14:03:39  MSTR    bid=$101.11
  [RAW TICK] 14:03:39  COIN    bid=$101.38
  [RAW TICK] 14:03:39  COIN    bid=$101.29
  [RAW TICK] 14:03:39  NVDA    bid=$875.23
  [RAW TICK] 14:03:39  TSLA    bid=$249.6
  [RAW TICK] 14:03:39  NVDA    bid=$875.36
  [RAW TICK] 14:03:39  AAPL    bid=$195.1
  [RAW TICK] 14:03:39  NVDA    bid=$875.44
  [RAW TICK] 14:03:39  NVDA    bid=$875.33
  [RAW TICK] 14:03:39  NVDA    bid=$875.6
  [RAW TICK] 14:03:39  NVDA    bid=$875.59
  [RAW TICK] 14:03:39  MSTR    bid=$101.39
  [RAW TICK] 14:03:39  COIN    bid=$101.37
  [RAW TICK] 14:03:39  AAPL    bid=$195.18
  [RAW TICK] 14:03:39  AAPL    bid=$195.32
  [RAW TICK] 14:03:39  TSLA    bid=$249.44
  [RAW TICK] 14:03:39  COIN    bid=$101.59
  [RAW TICK] 14:03:39  NVDA    bid=$875.65
  [RAW TICK] 14:03:39  NVDA    bid=$875.41
  [RAW TICK] 14:03:39  AAPL    bid=$195.25
  [RAW TICK] 14:03:39  NVDA    bid=$875.64
  [RAW TICK] 14:03:39  COIN    bid=$101.73
  [RAW TICK] 14:03:39  AAPL    bid=$195.46
  [RAW TICK] 14:03:39  TSLA    bid=$249.61
  [RAW TICK] 14:03:40  NVDA    bid=$875.52
  [RAW TICK] 14:03:40  TSLA    bid=$249.5
  [RAW TICK] 14:03:40  COIN    bid=$101.81
  [RAW TICK] 14:03:40  TSLA    bid=$249.72
  [RAW TICK] 14:03:40  COIN    bid=$101.73
  [RAW TICK] 14:03:40  AAPL    bid=$195.47
  [RAW TICK] 14:03:40  COIN    bid=$101.63
  [RAW TICK] 14:03:40  AAPL    bid=$195.38
  [RAW TICK] 14:03:40  AAPL    bid=$195.33
  [RAW TICK] 14:03:40  COIN    bid=$101.44
  [RAW TICK] 14:03:40  NVDA    bid=$875.52
  [RAW TICK] 14:03:40  AAPL    bid=$195.37
  [RAW TICK] 14:03:40  COIN    bid=$101.21
  [RAW TICK] 14:03:40  AAPL    bid=$195.26
  [RAW TICK] 14:03:40  COIN    bid=$101.27
  [RAW TICK] 14:03:40  MSTR    bid=$101.28
  [RAW TICK] 14:03:40  NVDA    bid=$875.7
  [RAW TICK] 14:03:40  MSTR    bid=$101.24
  [RAW TICK] 14:03:40  TSLA    bid=$249.52
  [RAW TICK] 14:03:40  TSLA    bid=$249.53
  [RAW TICK] 14:03:40  AAPL    bid=$195.1
  [RAW TICK] 14:03:40  MSTR    bid=$101.32
  [RAW TICK] 14:03:40  AAPL    bid=$195.12
  [RAW TICK] 14:03:40  TSLA    bid=$249.46
  [RAW TICK] 14:03:41  MSTR    bid=$101.22
  [RAW TICK] 14:03:41  AAPL    bid=$195.13
  [RAW TICK] 14:03:41  MSTR    bid=$101.2
