  Session log : spot_check_logs\log2.txt  (started 2026-06-01 13:58:52)

  Trading Pipeline — PAPER (mock data, no real orders)
  Watching    : AAPL, TSLA, NVDA, MSTR, COIN
  Trigger     : price > rolling_mean + 2.0 * std_dev
  AI gate     : confidence > 0.65
  Order cap   : 10% of balance (fractional shares)
  Take-profit : +3%  |  Stop-loss : -5% (AI-assisted)
  Press Ctrl+C to stop.

  [RAW TICK] 13:58:53  MSTR    bid=$100.01
  [RAW TICK] 13:58:53  MSTR    bid=$100.0
  [RAW TICK] 13:58:53  NVDA    bid=$876.0
  [RAW TICK] 13:58:53  COIN    bid=$100.04
  [RAW TICK] 13:58:53  MSTR    bid=$99.81
  [RAW TICK] 13:58:53  TSLA    bid=$250.04
  [RAW TICK] 13:58:53  MSTR    bid=$100.02
  [RAW TICK] 13:58:53  NVDA    bid=$876.09
  [RAW TICK] 13:58:53  AAPL    bid=$194.99
  [RAW TICK] 13:58:53  COIN    bid=$99.66
  [RAW TICK] 13:58:53  TSLA    bid=$249.96
  [RAW TICK] 13:58:53  COIN    bid=$99.67
  [RAW TICK] 13:58:53  MSTR    bid=$99.99
  [RAW TICK] 13:58:53  AAPL    bid=$194.83
  [RAW TICK] 13:58:53  MSTR    bid=$99.9
  [RAW TICK] 13:58:53  TSLA    bid=$250.07
  [RAW TICK] 13:58:53  TSLA    bid=$250.12
  [RAW TICK] 13:58:54  COIN    bid=$99.69
  [RAW TICK] 13:58:54  AAPL    bid=$194.6
  [RAW TICK] 13:58:54  NVDA    bid=$876.08
  [RAW TICK] 13:58:54  NVDA    bid=$875.9
  [RAW TICK] 13:58:54  NVDA    bid=$875.86
  [RAW TICK] 13:58:54  COIN    bid=$99.39
  [RAW TICK] 13:58:54  TSLA    bid=$250.04
  [RAW TICK] 13:58:54  COIN    bid=$99.42
  [RAW TICK] 13:58:54  NVDA    bid=$875.82
  [RAW TICK] 13:58:54  AAPL    bid=$194.72
  [RAW TICK] 13:58:54  AAPL    bid=$194.82
  [RAW TICK] 13:58:54  AAPL    bid=$194.97
  [RAW TICK] 13:58:54  MSTR    bid=$100.01
  [RAW TICK] 13:58:54  COIN    bid=$99.21
  [RAW TICK] 13:58:54  AAPL    bid=$194.99
  [RAW TICK] 13:58:54  MSTR    bid=$100.09
  [RAW TICK] 13:58:54  COIN    bid=$99.23
  [RAW TICK] 13:58:54  MSTR    bid=$99.96
  [RAW TICK] 13:58:54  MSTR    bid=$99.95
  [RAW TICK] 13:58:54  MSTR    bid=$99.8
  [RAW TICK] 13:58:54  AAPL    bid=$195.1
  [RAW TICK] 13:58:54  NVDA    bid=$875.9
  [RAW TICK] 13:58:54  TSLA    bid=$250.22
  [RAW TICK] 13:58:54  NVDA    bid=$875.88
  [RAW TICK] 13:58:55  TSLA    bid=$249.93
  [RAW TICK] 13:58:55  COIN    bid=$99.21
  [RAW TICK] 13:58:55  NVDA    bid=$875.69
  [RAW TICK] 13:58:55  MSTR    bid=$99.74
  [RAW TICK] 13:58:55  AAPL    bid=$195.02
  [RAW TICK] 13:58:55  TSLA    bid=$249.88
  [RAW TICK] 13:58:55  NVDA    bid=$875.71
  [RAW TICK] 13:58:55  AAPL    bid=$194.86
  [RAW TICK] 13:58:55  NVDA    bid=$875.76
  [RAW TICK] 13:58:55  TSLA    bid=$249.83
  [RAW TICK] 13:58:55  TSLA    bid=$249.79
  [RAW TICK] 13:58:55  TSLA    bid=$249.86
  [RAW TICK] 13:58:55  TSLA    bid=$249.75
  [RAW TICK] 13:58:55  NVDA    bid=$875.81
  [RAW TICK] 13:58:55  COIN    bid=$99.17
  [RAW TICK] 13:58:55  COIN    bid=$98.99
  [RAW TICK] 13:58:55  AAPL    bid=$194.76
  [RAW TICK] 13:58:55  TSLA    bid=$249.78
  [RAW TICK] 13:58:55  NVDA    bid=$875.78
  [RAW TICK] 13:58:55  AAPL    bid=$194.81
  [RAW TICK] 13:58:55  COIN    bid=$99.12
  [RAW TICK] 13:58:55  TSLA    bid=$249.75
  [RAW TICK] 13:58:55  NVDA    bid=$875.92
  [RAW TICK] 13:58:55  NVDA    bid=$875.94
  [RAW TICK] 13:58:56  MSTR    bid=$99.66
  [RAW TICK] 13:58:56  MSTR    bid=$99.71
  [RAW TICK] 13:58:56  TSLA    bid=$249.84
  [RAW TICK] 13:58:56  COIN    bid=$99.38
  [RAW TICK] 13:58:56  COIN    bid=$99.4
  [RAW TICK] 13:58:56  NVDA    bid=$876.02
  [RAW TICK] 13:58:56  COIN    bid=$99.41
  [RAW TICK] 13:58:56  AAPL    bid=$194.75
  [RAW TICK] 13:58:56  AAPL    bid=$194.45
  [RAW TICK] 13:58:56  NVDA    bid=$875.97
  [RAW TICK] 13:58:56  COIN    bid=$99.1
  [RAW TICK] 13:58:56  MSTR    bid=$99.61
  [RAW TICK] 13:58:56  TSLA    bid=$249.89
  [RAW TICK] 13:58:56  AAPL    bid=$194.41
  [RAW TICK] 13:58:56  MSTR    bid=$99.59
  [RAW TICK] 13:58:56  MSTR    bid=$99.48
  [RAW TICK] 13:58:56  NVDA    bid=$875.84
  [RAW TICK] 13:58:56  COIN    bid=$99.27
  [RAW TICK] 13:58:56  NVDA    bid=$875.87
  [RAW TICK] 13:58:56  TSLA    bid=$249.88
  [RAW TICK] 13:58:56  TSLA    bid=$249.87
  [RAW TICK] 13:58:56  TSLA    bid=$249.72
  [RAW TICK] 13:58:56  COIN    bid=$99.52
  [RAW TICK] 13:58:56  MSTR    bid=$99.61
  [RAW TICK] 13:58:57  TSLA    bid=$249.75
  [RAW TICK] 13:58:57  TSLA    bid=$249.8
  [RAW TICK] 13:58:57  MSTR    bid=$99.65
  [RAW TICK] 13:58:57  MSTR    bid=$99.67
  [RAW TICK] 13:58:57  MSTR    bid=$99.6
  [RAW TICK] 13:58:57  TSLA    bid=$249.72
  [RAW TICK] 13:58:57  COIN    bid=$99.53
  [RAW TICK] 13:58:57  COIN    bid=$99.34
  [RAW TICK] 13:58:57  NVDA    bid=$875.7
  [RAW TICK] 13:58:57  AAPL    bid=$194.34
  [RAW TICK] 13:58:57  AAPL    bid=$195.25
  [RAW TICK] 13:58:57  MSTR    bid=$99.93
  [RAW TICK] 13:58:57  AAPL    bid=$195.19
  [RAW TICK] 13:58:57  AAPL    bid=$195.17
  [RAW TICK] 13:58:57  AAPL    bid=$195.02
  [RAW TICK] 13:58:57  TSLA    bid=$249.72
  [RAW TICK] 13:58:57  AAPL    bid=$195.16
  [RAW TICK] 13:58:57  COIN    bid=$99.29
  [RAW TICK] 13:58:57  MSTR    bid=$99.79
  [RAW TICK] 13:58:57  COIN    bid=$99.46
  [RAW TICK] 13:58:57  AAPL    bid=$195.02
  [RAW TICK] 13:58:57  TSLA    bid=$249.83
  [RAW TICK] 13:58:57  NVDA    bid=$875.53
  [RAW TICK] 13:58:57  COIN    bid=$99.64
  [RAW TICK] 13:58:57  AAPL    bid=$194.93
  [RAW TICK] 13:58:58  NVDA    bid=$875.52
  [RAW TICK] 13:58:58  AAPL    bid=$195.0
  [RAW TICK] 13:58:58  MSTR    bid=$99.86
  [RAW TICK] 13:58:58  AAPL    bid=$195.09
  [RAW TICK] 13:58:58  COIN    bid=$99.65
  [RAW TICK] 13:58:58  COIN    bid=$99.73
  [RAW TICK] 13:58:58  NVDA    bid=$875.37
  [RAW TICK] 13:58:58  NVDA    bid=$875.28
  [RAW TICK] 13:58:58  NVDA    bid=$875.38
  [RAW TICK] 13:58:58  COIN    bid=$99.86
  [RAW TICK] 13:58:58  TSLA    bid=$249.5
  [RAW TICK] 13:58:58  TSLA    bid=$249.45
  [RAW TICK] 13:58:58  COIN    bid=$99.75
  [RAW TICK] 13:58:58  COIN    bid=$99.87
  [RAW TICK] 13:58:58  NVDA    bid=$875.45
  [RAW TICK] 13:58:58  NVDA    bid=$875.3
  [RAW TICK] 13:58:58  NVDA    bid=$875.67
  [RAW TICK] 13:58:58  COIN    bid=$99.62
  [RAW TICK] 13:58:58  COIN    bid=$99.7
  [RAW TICK] 13:58:58  NVDA    bid=$875.83
