  Session log : spot_check_logs\log4.txt  (started 2026-06-01 14:16:51)

  Trading Pipeline — PAPER (mock data, no real orders)
  Watching    : AAPL, TSLA, NVDA, MSTR, COIN
  Trigger     : price > rolling_mean + 2.0 * std_dev
  AI gate     : confidence > 0.65
  Order cap   : 10% of balance (fractional shares)
  Take-profit : +3%  |  Stop-loss : -5% (AI-assisted)
  Press Ctrl+C to stop.

  [RAW TICK] 14:16:51  MSTR    bid=$99.96
  [RAW TICK] 14:16:51  AAPL    bid=$194.97
  [RAW TICK] 14:16:52  NVDA    bid=$874.92
  [RAW TICK] 14:16:52  TSLA    bid=$250.11
  [RAW TICK] 14:16:52  NVDA    bid=$875.16
  [RAW TICK] 14:16:52  AAPL    bid=$194.59
  [RAW TICK] 14:16:52  NVDA    bid=$875.09
  [RAW TICK] 14:16:52  TSLA    bid=$250.27
  [RAW TICK] 14:16:52  COIN    bid=$99.84
  [RAW TICK] 14:16:52  MSTR    bid=$99.85
  [RAW TICK] 14:16:52  NVDA    bid=$875.41
  [RAW TICK] 14:16:52  COIN    bid=$99.68
  [RAW TICK] 14:16:52  COIN    bid=$99.71
  [RAW TICK] 14:16:52  NVDA    bid=$875.15
  [RAW TICK] 14:16:52  COIN    bid=$99.83
  [RAW TICK] 14:16:52  AAPL    bid=$194.5
  [RAW TICK] 14:16:52  COIN    bid=$99.88
  [RAW TICK] 14:16:52  AAPL    bid=$194.46
  [RAW TICK] 14:16:52  AAPL    bid=$194.61
  [RAW TICK] 14:16:52  AAPL    bid=$194.55
  [RAW TICK] 14:16:52  NVDA    bid=$875.02
  [RAW TICK] 14:16:52  COIN    bid=$99.75
  [RAW TICK] 14:16:52  NVDA    bid=$874.87
  [RAW TICK] 14:16:52  COIN    bid=$99.87
  [RAW TICK] 14:16:52  AAPL    bid=$194.42
  [RAW TICK] 14:16:52  COIN    bid=$99.92
  [RAW TICK] 14:16:53  COIN    bid=$100.01
  [RAW TICK] 14:16:53  MSTR    bid=$99.99
  [RAW TICK] 14:16:53  COIN    bid=$100.0
  [RAW TICK] 14:16:53  NVDA    bid=$874.76
  [RAW TICK] 14:16:53  COIN    bid=$99.97
  [RAW TICK] 14:16:53  NVDA    bid=$874.8
  [RAW TICK] 14:16:53  COIN    bid=$99.84
  [RAW TICK] 14:16:53  NVDA    bid=$874.83
  [RAW TICK] 14:16:53  TSLA    bid=$250.18
  [RAW TICK] 14:16:53  AAPL    bid=$194.58
  [RAW TICK] 14:16:53  COIN    bid=$99.9
  [RAW TICK] 14:16:53  TSLA    bid=$250.07
  [RAW TICK] 14:16:53  TSLA    bid=$249.96
  [RAW TICK] 14:16:53  NVDA    bid=$874.74
  [RAW TICK] 14:16:53  NVDA    bid=$874.29
  [RAW TICK] 14:16:53  AAPL    bid=$194.69
  [RAW TICK] 14:16:53  AAPL    bid=$194.52
  [RAW TICK] 14:16:53  AAPL    bid=$194.7
  [RAW TICK] 14:16:53  AAPL    bid=$194.64
  [RAW TICK] 14:16:53  AAPL    bid=$194.66
  [RAW TICK] 14:16:53  NVDA    bid=$874.31
  [RAW TICK] 14:16:53  NVDA    bid=$874.29
  [RAW TICK] 14:16:53  TSLA    bid=$249.78
  [RAW TICK] 14:16:53  COIN    bid=$100.02
  [RAW TICK] 14:16:54  COIN    bid=$99.95
  [RAW TICK] 14:16:54  COIN    bid=$100.01
  [RAW TICK] 14:16:54  AAPL    bid=$194.51
  [RAW TICK] 14:16:54  MSTR    bid=$99.77
  [RAW TICK] 14:16:54  COIN    bid=$100.07
  [RAW TICK] 14:16:54  AAPL    bid=$194.53
  [RAW TICK] 14:16:54  COIN    bid=$100.14
  [RAW TICK] 14:16:54  NVDA    bid=$874.35
  [RAW TICK] 14:16:54  TSLA    bid=$249.91
  [RAW TICK] 14:16:54  MSTR    bid=$99.76
  [RAW TICK] 14:16:54  TSLA    bid=$249.96
  [RAW TICK] 14:16:54  COIN    bid=$101.07

  [THRESHOLD TRIP] COIN  bid=$101.07  band=$100.56  (mean=99.97, sigma=0.2920, breach=3.76σ)
  [AUTO BUY] Gemini disabled — buying on sigma breach.
  [PAPER RISK CHECK]  balance=$200,000.00  budget(10%)=$20,000.00  → 197.88266 shares of COIN  (~$20,000.00)
[PAPER FILL] 2026-06-01 14:16:54.474483 | BUY 197.88266 COIN @ $101.07  |  Cash: $180,000.00
  [RAW TICK] 14:16:54  MSTR    bid=$99.52
  [RAW TICK] 14:16:54  MSTR    bid=$99.54
  [RAW TICK] 14:16:54  COIN    bid=$101.21
  [RAW TICK] 14:16:54  AAPL    bid=$194.36
  [RAW TICK] 14:16:54  AAPL    bid=$194.6
  [RAW TICK] 14:16:54  MSTR    bid=$99.32
  [RAW TICK] 14:16:54  NVDA    bid=$874.33
  [RAW TICK] 14:16:54  MSTR    bid=$99.22
  [RAW TICK] 14:16:54  MSTR    bid=$99.22
  [RAW TICK] 14:16:54  NVDA    bid=$874.44
  [RAW TICK] 14:16:54  TSLA    bid=$249.89
  [RAW TICK] 14:16:54  COIN    bid=$100.94
  [RAW TICK] 14:16:55  MSTR    bid=$99.26
  [RAW TICK] 14:16:55  MSTR    bid=$99.19
  [RAW TICK] 14:16:55  AAPL    bid=$194.29
  [RAW TICK] 14:16:55  AAPL    bid=$194.22
  [RAW TICK] 14:16:55  COIN    bid=$100.84
  [RAW TICK] 14:16:55  MSTR    bid=$100.26
  [RAW TICK] 14:16:55  TSLA    bid=$249.86
  [RAW TICK] 14:16:55  MSTR    bid=$100.28
  [RAW TICK] 14:16:55  MSTR    bid=$100.31
  [RAW TICK] 14:16:55  NVDA    bid=$874.21
  [RAW TICK] 14:16:55  COIN    bid=$100.97
  [RAW TICK] 14:16:55  TSLA    bid=$249.73
  [RAW TICK] 14:16:55  TSLA    bid=$249.6
  [RAW TICK] 14:16:55  NVDA    bid=$874.07
  [RAW TICK] 14:16:55  AAPL    bid=$194.13
  [RAW TICK] 14:16:55  AAPL    bid=$194.44
  [RAW TICK] 14:16:55  MSTR    bid=$100.47
  [RAW TICK] 14:16:55  NVDA    bid=$873.92
  [RAW TICK] 14:16:55  MSTR    bid=$100.47
  [RAW TICK] 14:16:55  AAPL    bid=$194.35
  [RAW TICK] 14:16:55  AAPL    bid=$194.2
  [RAW TICK] 14:16:55  TSLA    bid=$249.85
  [RAW TICK] 14:16:55  NVDA    bid=$873.6
  [RAW TICK] 14:16:55  MSTR    bid=$100.48
  [RAW TICK] 14:16:56  TSLA    bid=$249.85
  [RAW TICK] 14:16:56  TSLA    bid=$249.63
  [RAW TICK] 14:16:56  COIN    bid=$100.76
  [RAW TICK] 14:16:56  COIN    bid=$100.74
  [RAW TICK] 14:16:56  COIN    bid=$100.87
  [RAW TICK] 14:16:56  MSTR    bid=$100.43
  [RAW TICK] 14:16:56  NVDA    bid=$873.74
  [RAW TICK] 14:16:56  NVDA    bid=$873.87
  [RAW TICK] 14:16:56  TSLA    bid=$249.69
  [RAW TICK] 14:16:56  NVDA    bid=$873.78
  [RAW TICK] 14:16:56  COIN    bid=$100.7
  [RAW TICK] 14:16:56  NVDA    bid=$873.56
  [RAW TICK] 14:16:56  TSLA    bid=$249.68
  [RAW TICK] 14:16:56  MSTR    bid=$101.88

  [THRESHOLD TRIP] MSTR  bid=$101.88  band=$101.26  (mean=99.96, sigma=0.6513, breach=2.95σ)
  [AUTO BUY] Gemini disabled — buying on sigma breach.
  [PAPER RISK CHECK]  balance=$180,000.00  budget(10%)=$18,000.00  → 176.67844 shares of MSTR  (~$18,000.00)
[PAPER FILL] 2026-06-01 14:16:56.550891 | BUY 176.67844 MSTR @ $101.88  |  Cash: $162,000.00
  [RAW TICK] 14:16:56  TSLA    bid=$249.28
  [RAW TICK] 14:16:56  MSTR    bid=$101.85
  [RAW TICK] 14:16:56  MSTR    bid=$102.07
  [RAW TICK] 14:16:56  TSLA    bid=$249.17
  [RAW TICK] 14:16:56  AAPL    bid=$194.16
  [RAW TICK] 14:16:56  AAPL    bid=$194.06
  [RAW TICK] 14:16:56  TSLA    bid=$249.08
